team_id,name,short_name,abbreviation,nickname,mascot,color,alternate_color,logo,conference_id,location,venue_id,venue_name
145,Ole Miss Rebels,Ole Miss,MISS,,Rebels,13294b,c8102e,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,8.0,Ole Miss,3974.0,
204,Oregon State Beavers,Oregon St,ORST,,Beavers,231f20,d73f09,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,9.0,Oregon State,3893.0,
205,Pacific (OR) Boxers,Pacificor,PAC,Pacificor,Boxers,b4183a,ffffff,,,Pacific (OR),,
213,Penn State Nittany Lions,Penn State,PSU,,Nittany Lions,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,5.0,Penn State,3632.0,
219,Pennsylvania Quakers,Penn,PENN,Penn,Quakers,082A74,a6163d,,,Pennsylvania,,
95,Pikeville Bears,Pikeville,PIKEV,Pikeville,Bears,,,,,Pikeville,,
90,Pittsburg St Gorillas,Pitt St,PIT,Pitt St,Gorillas,000000,,,,Pittsburg St,,
221,Pittsburgh Panthers,Pitt,PITT,,Panthers,003263,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,1.0,Pittsburgh,3752.0,
163,Princeton Tigers,Princeton,PRIN,Princeton,Tigers,000000,ff6000,,,Princeton,,
29,Redlands Bulldogs,Redlands,RED,Redlands,Bulldogs,751708,ffffff,,,Redlands,,
227,Rhode Island Rams,Rhode Island,URI,Rhode Island,Rams,091f3f,5ab3e8,,,Rhode Island,,
242,Rice Owls,Rice,RICE,,Owls,d1d5d8,003d7d,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,151.0,Rice,3895.0,
257,Richmond Spiders,Richmond,RICH,Richmond,Spiders,9e0712,b90b2e,,,Richmond,,
86,Rose-Hulman Fightin' Engineers,Rosehulman,ROSEHUL,Rosehulman,Fightin' Engineers,800000,b3b2b1,,,Rose-Hulman,,
164,Rutgers Scarlet Knights,Rutgers,RUTG,,Scarlet Knights,d21034,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,5.0,Rutgers,3754.0,
16,Sacramento State Hornets,Sacramento St,SAC,Sacramento St,Hornets,00573C,cdb97d,,,Sacramento State,,
129,Saginaw Valley State Cardinals,Saginawval,SAGI,Saginawval,Cardinals,000000,,,,Saginaw Valley State,,
21,San Diego State Aztecs,San Diego St,SDSU,,Aztecs,c41230,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,17.0,San Diego State,3932.0,
301,San Diego Toreros,San Diego,USD,San Diego,Toreros,2f99d4,2f99d4,,,San Diego,,
23,San José State Spartans,San José St,SJSU,,Spartans,005893,fdba31,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,17.0,San José State,3935.0,
215,Slippery Rock The Rock,Sliprock,SRU,Sliprock,The Rock,000000,,,,Slippery Rock,,
6,South Alabama Jaguars,South Alabama,USA,,Jaguars,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,37.0,South Alabama,6526.0,
233,South Dakota Coyotes,South Dakota,SDAK,,Coyotes,CD1241,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/233.png,21.0,South Dakota,1905.0,
58,South Florida Bulls,South Florida,USF,,Bulls,004A36,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,151.0,South Florida,3886.0,
